set,material_id,cif_path,reduced_formula,spacegroup_symbol,spacegroup_number,crystal_system,quality_score,min_eig,B_H,G_H,E_H,nu_H,A_U,density,volume_per_atom,min_distance,relerr_bulk_scalar_vs_BH,relerr_shear_scalar_vs_GH,relerr_young_scalar_vs_EH,targets_scalars,targets_voigt21
2el,gen_00008,generated_cifs_2el_densityaware/gen_00008.cif,Sr11Sn3,P1,1,triclinic,9,172.66080020272062,229.36496855946476,216.90807435402326,494.76082705772126,0.14048503849193925,0.1347228761663608,7.505862631055461,20.858252996533633,2.119798071593253,0.009598888882487685,0.0040731918596963596,0.009849280890051718,"[1.932721734046936, 4.211187839508057, 3.8163883686065674, 5.504210948944092, 5.010825157165527, 6.64164924621582, 6.6185221672058105, 6.220630645751953]","[6.642614364624023, 0.3730256259441376, 0.28828901052474976, -0.4544081687927246, -0.4472404420375824, -0.781265139579773, 6.648257732391357, 0.2855963408946991, -0.928733229637146, -0.5186126232147217, -0.5980666875839233, 6.623556137084961, -0.43058300018310547, -0.5209766626358032, -0.6447992324829102, 1.9765238761901855, -0.5083287358283997, -0.2982622981071472, 1.9778646230697632, -0.21349060535430908, 2.2303316593170166]"
2el,gen_00283,generated_cifs_2el_densityaware/gen_00283.cif,Sn5B9,P1,1,triclinic,9,162.43373566874516,381.73738543594186,311.4118213094266,734.505147920665,0.17931481347145484,0.8374406491678492,8.169349593098145,10.030364475260294,1.6913179247105419,0.005687099001987456,0.016078433944882606,0.00018832949745747825,"[4.196416854858398, 6.746943473815918, 6.369882106781006, 6.212882041931152, 5.920769691467285, 8.040454864501953, 7.9718523025512695, 7.198747634887695]","[10.805763244628906, 1.7215267419815063, 1.0356279611587524, -0.06602102518081665, -0.2279558777809143, -1.0444388389587402, 10.815019607543945, 1.014420509338379, -1.3218117952346802, -0.28571587800979614, -0.39064159989356995, 10.671652793884277, 0.2488691657781601, -0.29905104637145996, -1.3873330354690552, 2.9229302406311035, -0.7664717435836792, 0.41030192375183105, 2.9061620235443115, 0.7806389927864075, 4.541787147521973]"
2el,gen_00065,generated_cifs_2el_densityaware/gen_00065.cif,Sr7Bi2,P2,3,monoclinic,9,132.50935164723148,192.05320469818764,160.75688140917993,377.0642534977211,0.17277795573169505,0.18449272314554666,8.009505406283179,23.756707164257357,1.9435815467797786,0.003447582917497741,0.010062046565844456,0.01105998329623195,"[1.4210538864135742, 2.7743823528289795, 2.594430446624756, 2.5762734413146973, 2.2761473655700684, 2.2446200847625732, 2.1878678798675537, 2.4528703689575195]","[4.605000019073486, 0.7366272807121277, 0.5655025243759155, -0.26845982670783997, -0.44749534130096436, -0.6195691227912903, 4.608515739440918, 0.5651434659957886, -0.7635643482208252, -0.48702919483184814, -0.3927362561225891, 4.565525054931641, -0.2084072232246399, -0.45755237340927124, -0.791216254234314, 1.5070792436599731, -0.720353364944458, -0.6241541504859924, 1.5061711072921753, -0.1631380319595337, 1.9306732416152954]"
2el,gen_00026,generated_cifs_2el_densityaware/gen_00026.cif,Mn4Sn5,P1,1,triclinic,9,131.8087373066891,138.1626813512113,150.71648351248527,331.5800426798094,0.10001253662590118,0.09096746448925064,4.786694876570327,31.348934205526493,2.69013073458689,0.08735708832314451,0.013725631441527707,0.04502206760475345,"[0.4314925968647003, 2.509387493133545, 2.007000207901001, 4.331248760223389, 3.5687096118927, 4.5087409019470215, 4.5418901443481445, 4.5917205810546875]","[3.959855556488037, 0.01540941372513771, -0.1363769769668579, -0.5310273766517639, -0.4558122754096985, -0.5652292370796204, 3.963430643081665, -0.14717964828014374, -0.9431949853897095, -0.5321327447891235, -0.5065644383430481, 3.930342674255371, -0.5645957589149475, -0.4958862066268921, -0.40449830889701843, 1.2411640882492065, -0.5366185903549194, -0.5272548198699951, 1.2433520555496216, -0.5753718018531799, 1.6438157558441162]"
2el,gen_00120,generated_cifs_2el_densityaware/gen_00120.cif,Sr4Sn5,P1,1,triclinic,9,131.72134790973706,147.06720131793725,153.97711217481935,342.42630166074724,0.11193896555213458,0.08991925726094152,6.058718226586317,28.74826432124341,2.6061180937267086,0.062323245470254786,0.00028848076977124553,0.024394188596217274,"[0.6068853735923767, 2.6428730487823486, 2.1889610290527344, 3.5575406551361084, 2.905125617980957, 3.7635788917541504, 3.7633159160614014, 3.8047807216644287]","[4.140470504760742, 0.05046732351183891, -0.05208317190408707, -0.38722848892211914, -0.48259472846984863, -0.6081465482711792, 4.144067287445068, -0.05820433795452118, -0.9226757287979126, -0.5289793014526367, -0.4867859184741974, 4.117157936096191, -0.3930041193962097, -0.5047655701637268, -0.5665982961654663, 1.3178495168685913, -0.6034995317459106, -0.523402214050293, 1.317266821861267, -0.40352797508239746, 1.5969780683517456]"
2el,gen_00255,generated_cifs_2el_densityaware/gen_00255.cif,Bi5B4,Pm,6,monoclinic,9,130.72511612627946,199.3260225917664,161.61855106281263,381.6934402460055,0.18084662229666124,0.19044385047989199,8.958476862009354,22.410914681659634,1.8919935975932356,0.03596001238733601,0.020567914279408208,0.026635548289497008,"[1.4127795696258545, 2.7530407905578613, 2.5801515579223633, 2.5672972202301025, 2.2817156314849854, 2.2372443675994873, 2.185002326965332, 2.445568084716797]","[4.744260787963867, 0.8226569890975952, 0.6314792633056641, -0.3203240931034088, -0.4557604193687439, -0.70780348777771, 4.74789571762085, 0.6310479044914246, -0.8118374347686768, -0.49360594153404236, -0.4507996439933777, 4.699701309204102, -0.2602885365486145, -0.465276300907135, -0.8545929193496704, 1.4908618927001953, -0.7656124830245972, -0.6579785346984863, 1.4889194965362549, -0.19679230451583862, 1.9605153799057007]"
3el,gen_00299,generated_cifs_3el_densityaware/gen_00299.cif,Sr2BiB2,P1,1,triclinic,9,130.68884065353254,292.495772615588,202.2910069130339,493.17843026750927,0.2189825879890191,0.4635548016226263,7.808883941013973,17.260268333217176,1.8271350949351168,0.0090264529410749,0.021214165139105172,0.014229698688971146,"[2.942342758178711, 3.972698926925659, 3.924056053161621, 2.842336654663086, 2.759657859802246, 3.696199417114258, 3.652275323867798, 3.3419179916381836]","[7.0553107261657715, 1.5017679929733276, 1.4490166902542114, -0.2316364049911499, -0.501024603843689, -1.5140308141708374, 7.061678886413574, 1.4518436193466187, -0.8438563346862793, -0.529165506362915, -0.7018449902534485, 7.036046981811523, -0.08737518638372421, -0.49322354793548584, -1.38930082321167, 2.053649425506592, -0.7964762449264526, -0.4971049129962921, 2.050109386444092, 0.22355078160762787, 2.2114241123199463]"
2el,gen_00073,generated_cifs_2el_densityaware/gen_00073.cif,Bi5B4,Pm,6,monoclinic,9,128.1862452199219,199.39411586818767,161.61902354584498,381.7220549727306,0.18093169540914525,0.20027595255395614,7.672400699998149,26.1675150298344,2.0094138746254675,0.03704985068999476,0.021386635367379458,0.02716203544228032,"[1.4105268716812134, 2.7497103214263916, 2.578343391418457, 2.566701889038086, 2.281874895095825, 2.23643159866333, 2.1836533546447754, 2.4443795680999756]","[4.780075550079346, 0.8210741281509399, 0.6082735657691956, -0.31955233216285706, -0.45081382989883423, -0.6984426379203796, 4.783690929412842, 0.6078497171401978, -0.8207522630691528, -0.48983943462371826, -0.440010130405426, 4.730905532836914, -0.24864591658115387, -0.4615670442581177, -0.8510899543762207, 1.4609508514404297, -0.7629236578941345, -0.6400468349456787, 1.4590026140213013, -0.19372761249542236, 1.9799951314926147]"
3el,gen_00169,generated_cifs_3el_densityaware/gen_00169.cif,Sr3Bi3B4,P1,1,triclinic,9,125.2743815322838,293.15378645074304,201.94686387237712,492.7032907754178,0.21988349144849276,0.5127089982863424,5.821901659125298,26.612576068505,2.0862653091776235,0.008778638311474348,0.02739555937499517,0.01997697416652569,"[2.9511256217956543, 3.995352029800415, 3.948598861694336, 2.841228723526001, 2.7550227642059326, 3.706517457962036, 3.658257007598877, 3.347902536392212]","[7.21049690246582, 1.4384273290634155, 1.3923869132995605, -0.24994072318077087, -0.5051699280738831, -1.5220338106155396, 7.216909885406494, 1.396598219871521, -0.840949296951294, -0.5313153266906738, -0.6781641840934753, 7.19178581237793, -0.059392817318439484, -0.49128448963165283, -1.404901146888733, 1.9988758563995361, -0.7753413319587708, -0.4636545777320862, 1.9951049089431763, 0.22655566036701202, 2.14011549949646]"
3el,gen_00154,generated_cifs_3el_densityaware/gen_00154.cif,Mn2(BiB)3,Pmm2,25,orthorhombic,9,118.95418987308707,182.20101792819867,141.2250750956826,336.68610257590313,0.19201955583239055,0.17178215562337584,7.702638283678597,20.72942596547903,2.641359913287622,0.04624009466389181,0.03577823115903584,0.03972232613127757,"[1.1397420167922974, 2.1942813396453857, 2.0765669345855713, 2.280172824859619, 2.0453295707702637, 2.0257551670074463, 1.9765952825546265, 2.191751480102539]","[4.119195461273193, 0.7843359708786011, 0.6267768740653992, -0.34668534994125366, -0.4645446538925171, -0.7493197321891785, 4.122215747833252, 0.6259359121322632, -0.7399439811706543, -0.5026273727416992, -0.5189729928970337, 4.082028388977051, -0.35451942682266235, -0.4726093113422394, -0.792058527469635, 1.2694928646087646, -0.7224145531654358, -0.6567815542221069, 1.2684115171432495, -0.24868802726268768, 1.662405252456665]"
3el,gen_00249,generated_cifs_3el_densityaware/gen_00249.cif,Sr4(BiB)3,P1,1,triclinic,9,118.404308323031,252.06381918502578,183.60228137178535,443.198771209645,0.20695333385370568,0.5164832759703168,4.112558271100022,40.77516335262564,2.400024064943858,0.0016058000466717417,0.04032220347434828,0.026204439865845492,"[2.308589458465576, 3.5792577266693115, 3.450040340423584, 1.763882040977478, 1.5462522506713867, 1.7178725004196167, 1.6650279760360718, 1.793536901473999]","[6.235469818115234, 1.0623399019241333, 1.0321320295333862, -0.19877968728542328, -0.5121282935142517, -1.210633397102356, 6.240715503692627, 1.0402179956436157, -0.8233156204223633, -0.5317018032073975, -0.4293496608734131, 6.221578598022461, 0.17292477190494537, -0.48553502559661865, -1.3313705921173096, 1.8200021982192993, -0.9026557207107544, -0.6867933869361877, 1.8144276142120361, 0.11278609931468964, 1.906256914138794]"
3el,gen_00122,generated_cifs_3el_densityaware/gen_00122.cif,Sn6B5Ru3,P1,1,triclinic,9,116.92295375916075,218.66508355048776,152.05399560199515,370.32408390936126,0.21773874617110744,0.17968360388458393,4.044777415348494,31.36298394050098,2.295560710695882,0.0030978953134807126,0.01594244618165863,0.017556232824913552,"[1.7964328527450562, 2.5341928005218506, 2.4996836185455322, 3.2896666526794434, 3.276031494140625, 4.054763317108154, 4.013006210327148, 3.7308859825134277]","[5.146173000335693, 0.9065144658088684, 0.9034507870674133, -0.48656165599823, -0.4921031594276428, -1.1363952159881592, 5.1509222984313965, 0.9020974636077881, -0.6992554664611816, -0.5257894992828369, -0.7262560129165649, 5.141279697418213, -0.583950400352478, -0.4984820485115051, -0.7919354438781738, 1.347039818763733, -0.5065619945526123, -0.41492030024528503, 1.3485037088394165, -0.19748297333717346, 1.3845220804214478]"
2el,gen_00108,generated_cifs_2el_densityaware/gen_00108.cif,Sr2I,P1,1,triclinic,9,115.2950317305899,158.44969653186598,142.25845034266314,328.47279454081155,0.1544930854708705,0.19297152515268312,8.484223905636048,19.711985542163486,2.001303352522062,0.0014956888554190438,0.01688013908463404,0.014822552478476877,"[0.9085747003555298, 2.2873523235321045, 2.0796151161193848, 2.8438761234283447, 2.4665215015411377, 3.017561197280884, 2.9655284881591797, 3.0095434188842773]","[3.950625419616699, 0.456611692905426, 0.22770610451698303, -0.26308074593544006, -0.4347286820411682, -0.5704345703125, 3.9536890983581543, 0.22216524183750153, -0.8086422681808472, -0.49137890338897705, -0.4272572994232178, 3.9019877910614014, -0.2698037028312683, -0.4529936611652374, -0.592728853225708, 1.1699397563934326, -0.5925787687301636, -0.46515795588493347, 1.1721546649932861, -0.25372305512428284, 1.7426308393478394]"
2el,gen_00289,generated_cifs_2el_densityaware/gen_00289.cif,Bi5B7,P1,1,triclinic,9,114.86652257600555,167.41313560110854,146.5057365296895,340.26129504379895,0.16125587674461042,0.20406341198546407,4.9271430605897,31.47133451084532,2.372308763622102,0.04724942222163411,0.04304622311428547,0.04588404400805156,"[0.9277393221855164, 2.2959933280944824, 2.090527057647705, 2.8392040729522705, 2.478764057159424, 3.0177505016326904, 2.9697458744049072, 3.0087108612060547]","[4.178180694580078, 0.5355166792869568, 0.2774866819381714, -0.30390188097953796, -0.4276680052280426, -0.6412919163703918, 4.181268692016602, 0.2726297676563263, -0.8533419370651245, -0.48848438262939453, -0.4732181429862976, 4.122808933258057, -0.3102532625198364, -0.45127496123313904, -0.6507900953292847, 1.189288854598999, -0.6394822001457214, -0.48340538144111633, 1.189565896987915, -0.26326119899749756, 1.8272936344146729]"
